record_id,term,canonical_meaning,category_primary,category_secondary,domains,era,region,confidence,review_status,status,source_id,risk_flag,sensitivity_tag,display_label,short_anchor,notes,owner,last_reviewed_at,approved_by
REC54_M1037,West North South,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,West North South,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1038,North South,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,North South,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1039,South,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,South,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1040,Judas,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Judas,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1041,Hawaiin Sophie,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Hawaiin Sophie,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1042,Sophie,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Sophie,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1043,Gay-Z,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Gay-Z,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1044,Cockafella Records,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Cockafella Records,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1045,Records,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Records,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1046,Biggie's,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Biggie's,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1047,Ill Will,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Ill Will,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1048,Jaz,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Jaz,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1049,Jigga,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Jigga,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1050,Hawaiian,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Hawaiian,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1051,Chase,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Chase,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1052,Stan,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Stan,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1053,Tae-bo,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Tae-bo,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1054,Dame Diddy Dame Daddy,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Dame Diddy Dame Daddy,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1055,Diddy Dame Daddy,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Diddy Dame Daddy,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1056,Dame Daddy,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Dame Daddy,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1057,Daddy,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Daddy,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1058,Dame Dummy,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Dame Dummy,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1059,Dummy,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Dummy,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1060,Biggie,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Biggie,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1061,Puffy,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Puffy,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1062,Beans,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Beans,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1063,Kane,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Kane,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1064,Irv,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Irv,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1065,Eminem,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Eminem,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1066,Russell Simmons,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Russell Simmons,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1067,Simmons,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Simmons,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1068,Evans,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Evans,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1069,Carter,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Carter,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1070,Kiss,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Kiss,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1072,york state,Repeated phrase across Nas corpus,slang,,slang,2000s-present,,4,needs_review,active,SRC_5_4_MINER,low,contextual,york state,york state,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,PH Labs Curator
REC54_M1073,new york state,Repeated phrase across Nas corpus,slang,,slang,2000s-present,,4,needs_review,active,SRC_5_4_MINER,low,contextual,new york state,new york state,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,PH Labs Curator
REC54_M1074,clapped quick,Repeated phrase across Nas corpus,slang,,slang,2000s-present,,4,needs_review,active,SRC_5_4_MINER,low,contextual,clapped quick,clapped quick,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,PH Labs Curator
REC54_M1075,fuck jay-z,Repeated phrase across Nas corpus,slang,,slang,2000s-present,,4,needs_review,active,SRC_5_4_MINER,low,contextual,fuck jay-z,fuck jay-z,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,PH Labs Curator
